product_name,quantity,nutrition_score,carbon_footprint,co2_packaging,store_count,country count,ingredients
Chocolate Excellence,100 g,23,17.110287748,0.10429359,6,12,"cocoa mass, sugar, cocoa butter, vanilla,"
Nestlé Dessert,205g,21,17.110287748,0.10429359,4,5,"sugar, cocoa paste, cocoa butter, emulsifier sunflower lecithin, natural vanilla aroma madagascar, cocoa: 52% minimum, may contain: nuts, milk,"
Véritable Petit Écolier Chocolat au Lait,150 g (12x 12.5 g) e,24,5.918971723,0.11013799,3,4,"small butter 52%: wheat flour 68.1%, sugar, pastry butter 14.7%, skimmed milk powder, baking powder (ammonium acid carbonate, sodium acid carbonate, disodium diphosphate), salt, acidity regulator (citric acid),

milk chocolate 48%: sugar, cocoa butter, cocoa mass, skimmed milk powder, glucose syrup, pastry butter, emulsifier (soy lecithin), vanilla flavour,"
Figolu,192 g (12 x 16 g),15,6.738600583,0.11010835,4,2,"wheat flour 34%, fig paste 26%, sugar, palm oil, glucose syrup, partially inverted sugar syrup, salt, baking powder (sodium carbonates, ammonium carbonates), acidity corrector (citric acid)"
EXCELLENCE Noir Orange Intense,100 g,26,4.363517368,0.10429359,7,2,"Sucre, pâte de cacao, _amandes_ 7%, jus d'orange à base de concentré 3,9%, beurre de cacao, beurre _laitier_ concentré, sucre inverti, jus de citron à base de concentré, émulsifiant (lécithine de _soja_), ananas, gélifiant (pectine), arôme naturel d'orange, arôme."
Biscuit Chocolat noir,150 g,21,6.738600583,0.11010835,4,3,"Chocolat noir 48% (pâte de cacao, sucre, beurre de cacao, lactose, poudre de lait écrémé, matière grasse de lait anhydre, émulsifiant : lécithines, arôme naturel de vanille), farine de blé 34,2%, sucre de canne roux, huile de colza, beurre pâtissier, protéines de lait, lactosérum, sirop de glucose, magnésium, poudres à lever (carbonates de sodium, carbonates d'ammonium), poudre de jus de citron, calcium, sel, blanc d'œuf en poudre, arôme naturel de vanille, amidon de blé, maltodextrine, vitamines B9 et E (lactose, protéines de lait)."
Biscuit fondant choco noir (sans sucres ajoutés),126 g,10,6.738600583,0.11010835,1,1,"wheat flour 44%, malticol chocolate 38% (cocoa paste, sweetener: maltitols, cocoa butter, emulsifier: soy lecithins, natural vanilla flavour), sweeteners: maltitols, oleic sunflower oil, skimmed milk powder, pastry butter, rice starch, egg yolk powder, salt, baking powders (diphosphates, sodium carbonate, ammonium carbonate), natural vanilla flavour, sweetener"
L'original Lait,200 g,24,12.741300238,0.10429359,7,3,"sugar, cocoa paste, skimmed milk powder, cocoa butter, whey powder (from milk), concentrated butter, emulsifier (soy lecithin), flavourings, cocoa: at least 33 %,"
Véritable Petit écolier Pocket Chocolat au Lait,250 g,24,5.918971723,0.11013799,2,2,"small butter 52 % : wheat flour 68.1 per cent, sugar, butter to 14.7 %, skimmed milk powder, baking powder (carbonate acid, ammonium carbonate acid, sodium diphosphate disodium salt), salt, corrector of acidity (citric acid), 
milk chocolate 48 % : sugar, cocoa butter, cocoa paste, skimmed milk powder, glucose syrup, pastry butter, emulsifier (soya lecithin ), aroma vanilla, 

allergene , milk gluten"
N/A,100 g,28,6.384208988,0.10434497,1,7,"milk chocolate 40% (sugar, whole milk powder, cocoa butter, cocoa mass, emulsifier: lecithins (soya), vanillin), sugar, nonfat dry milk (18%), palm oil, dehydrated butter, emulsifier: lecithins (soya), vanillin,"
Chocolat Noir Corsé,200 g,18,17.110287748,0.10429359,7,3,"cocoa mass (west africa, south america), sugar, cocoa butter, lean cocoa, emulsifier : sunflower lecithin, natural flavour vanilla (madagascar), 

cocoa : 65% minimum,"
NESTLE DESSERT Chocolat Noir Absolu,170 g,17,17.110287748,0.10429359,4,2,"superior dark chocolate, ingredients: cocoa paste¹ (west africa, south america), sugar, cocoa butter¹, pastry butter, natural vanilla flavor from madagascar, rainforest alliance certified mass balance, www,ra,org/en may contain: milk, nuts, cocoa: 70% minimum,"
Chocolat au lait avec fourrage au lait 16 barres,200 g (16 barres),28,6.384208988,0.10434497,2,2,"40% more chocolate than milk (sugar, milk powder, cocoa butter, cocoa paste, emulsifiers : lecithins [soya], vanillin), sugar, skimmed milk powder, palm oil, concentrated butter, emulsifiers : lecithins [soya], vanillin,"
Excellence - Chocolat Caramel à la pointe de sel,100 g,27,17.110287748,0.10429359,9,1,"sugar, cocoa paste, grains, caramel (sugar, lactose , butter milk concentrate, skim milk powder, rapeseed lecithin, aroma) 5%, caramelized sugar (sugar, cocoa butter) 5%, cocoa butter, butter milk concentrate, emulsifier (soy lecithin ), sea salt 0,3%, flavour,"
